,kingdom,phylum,class,order,family,genus,species,locality,stateProvince,lat,lng,elevation,day,month,year,taxonKey,ScientificName,VernacularNames
57,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Viejo Hotel Cataratas. Entre Viejo Hotel Cataratas y la Estación Central<br /> </p>,Misiones,-25.68363,-54.44666,182.0,4.0,4.0,2003.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
58,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Sendero Yacaratiá. Entrada<br /> </p>,Misiones,-25.67713,-54.45437,186.0,1.0,2.0,2000.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
59,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Ruta de Acceso Area Cataratas <br /> </p>,Misiones,-25.68837,-54.46718,235.0,12.0,6.0,2003.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
60,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Ruta de Acceso Area Cataratas. En ruta de acceso al Area Cataratas<br /> </p>,Misiones,-25.68837,-54.46718,235.0,23.0,4.0,2003.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
61,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Playa Estacionamiento nueva. Nuevo estacionamiento<br /> </p>,Misiones,-25.6849,-54.45489,181.0,8.0,5.0,2002.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
62,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Playa Estacionamiento. Playa estacionamiento antes del Bañado<br /> </p>,Misiones,-25.67769,-54.45124,183.0,17.0,2.0,1987.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
63,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Paseo Inferior. Ingreso<br /> </p>,Misiones,-25.68316,-54.44556,173.0,16.0,6.0,2002.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
64,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Paseo inferior. Bar<br /> </p>,Misiones,-25.68314,-54.44453,162.0,11.0,12.0,2001.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
65,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Hotel Sheraton. Entre playa estacionamiento y curva<br /> </p>,Misiones,-25.67973,-54.44721,185.0,26.0,6.0,2002.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
66,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Hotel Sheraton. En sector parquizado<br /> </p>,Misiones,-25.68094,-54.44584,184.0,12.0,6.0,2003.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
67,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Hotel Sheraton. Curva en frente al Sheraton<br /> </p>,Misiones,-25.67885,-54.44771,185.0,3.0,5.0,2003.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
68,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Estacionamiento nuevo. Entre Portal de Acceso y el Control Acceso al Area Cataratas<br /> </p>,Misiones,-25.6849,-54.45489,181.0,28.0,6.0,2003.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
69,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>Area Cataratas. Estación Central. Pasando, en galpón de la UTE<br /> </p>",Misiones,-25.67871,-54.45381,179.0,3.0,5.0,2003.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
70,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Estación Central. Galpón de alistamiento UTE<br /> </p>,Misiones,-25.67871,-54.45381,179.0,9.0,9.0,2003.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
71,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Estación Central. Curva antes de las Araucarias<br /> </p>,Misiones,-25.6775,-54.45153,181.0,28.0,10.0,2003.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
72,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Estación Central. Curva<br /> </p>,Misiones,-25.6775,-54.45153,181.0,27.0,3.0,2002.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
73,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>Area Cataratas. Estación Central. Cerca del Restaurante La Selva, proximidades Estación Central<br /> </p>",Misiones,-25.6809,-54.45462,181.0,10.0,4.0,2003.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
74,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Estación Cataratas <br /> </p>,Misiones,-25.68368,-54.44919,187.0,9.0,11.0,2003.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
75,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Control de Acceso <br /> </p>,Misiones,-25.6888,-54.45285,185.0,20.0,12.0,2000.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
76,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Cruce a Cataratas. A 500 m del cruce a acceso a Area Cataratas<br /> </p>,Misiones,-25.69073,-54.47802,234.0,3.0,12.0,1999.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
77,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Control UTE<br /> </p>,Misiones,-25.68703,-54.45582,183.0,23.0,8.0,2001.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
78,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Control de acceso <br /> </p>,Misiones,-25.6888,-54.45285,185.0,19.0,4.0,1999.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
79,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Control de acceso <br /> </p>,Misiones,-25.6888,-54.45285,185.0,4.0,7.0,1995.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
80,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>Area Cataratas. Control de Acceso, 500m antes de llegar a control<br /> </p>",Misiones,-25.69113,-54.45676,196.0,22.0,2.0,1996.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
81,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>Area Cataratas. Control de Acceso. 500m antes de llegar a control, viniendo del pueblo<br /> </p>",Misiones,-25.69113,-54.45676,196.0,15.0,12.0,1995.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
